SITE_ID,VISIT_NO,PH_LAB,COND,ANC,TURB,DOC,NH4N_PPM,NO3_NO2,NO3N_PPM,NTL,PTL,CHLA,CL_PPM,SO4_PPM,CA_PPM,MG_PPM,NA_PPM,K_PPM,COLOR,SIO2,CATSUM,ANSUM2,SOBC,SECMEAN,CLEAR_TO_BOTTOM
NLA06608-1874,1,8.49,466.5,3734.86,3.68,3.62,0.017,0.005,0.005,0.374,26,3.56,30.733,19.476,58.4,16.85,14.94,1.603,12,4.819,4992.62,5007.21,4991.57,2.85,NA
NLA06608-1879,1,8.73,1875,3271.22,27.7,18.99,0.043,0.005,0.005,4.075,328,109.662,28.344,870.876,120.1,144.7,78.64,21.95,22,9.028,21884.54,22202.33,21882.12,0.27,NA
NLA06608-1884,1,8.72,324.5,1972.62,4.15,4.01,0.036,1.544,1.666,2.334,39,25.44,24.401,20.191,26.71,15.14,8.832,2.97,8,2.744,3040.84,3200.19,3038.8,0.95,NA
NLA06608-1893,1,8.53,391,2970.21,76.1,5.9,0.029,0.122,0.186,0.581,302,6.94,17.12,22.45,29.75,5.136,39.38,7.852,16,31.555,3822.69,3933.79,3820.92,0.19,NA
NLA06608-1894,1,7.34,24.82,216.57,1.5,0.59,0.005,0.005,0.005,0.162,36,0.446,0.269,0.557,1.429,0.579,2.313,0.635,5,19.369,236.06,235.8,235.8,NA,NA
NLA06608-1906,1,7.44,202.1,276.48,3.58,3.7,0.016,0.005,0.005,0.368,14,2.104,45.447,6.35,6.98,1.582,25,1.811,13,1.072,1613.4,1690.6,1612.24,1.33,NA
NLA06608-1908,1,7.79,150.4,554.5,0.887,2.62,0.014,0.005,0.005,0.185,10,0.944,2.826,34.195,11.7,6.618,4.531,0.776,9,6.342,1346.33,1346.17,1345.35,4.95,NA
NLA06608-1910,1,8.57,186.1,1876.78,6.14,18.15,0.028,0.005,0.005,0.83,37,22.24,0.254,5.903,20.66,12.86,0.39,0.1,35,2.729,2110.37,2006.85,2108.68,0.8,NA
NLA06608-1930,1,8.58,149.4,1300.3,1.15,1.35,0.018,0.015,0.005,0.178,31,1.482,2.536,3.199,13.33,3.937,8.884,1.861,7,30.245,1424.25,1438.44,1423.17,3.3,NA
NLA06608-1936,1,8.15,455.5,2674.92,16.7,5.61,0.082,0.068,0.03,0.788,89,31.4,44.055,21.191,41.95,8.999,30.12,4.947,12,1.925,4275.96,4360.88,4270.49,0.4,NA
NLA06608-1948,1,9,490.5,5002.1,7.91,26.21,0.034,0.005,0.005,2.981,486,20.88,4.582,1.952,24.61,12.85,44.09,33.54,30,49.716,5062.71,5171.98,5061.09,0.84,NA
NLA06608-1953,1,8.2,147.8,1426.02,2.13,2.91,0.005,0.005,0.005,0.226,15,9.173,1.059,1.701,18.36,5.704,1.507,0.414,10,6.484,1462.08,1491.31,1461.67,2.13,NA
NLA06608-1958,1,7.8,54.33,500.43,1.31,0.98,0.005,0.005,0.005,0.018,10,0.668,0.846,0.517,5.017,1.63,2.893,0.668,0,22.619,527.9,535.07,527.4,4.63,NA
NLA06608-1959,1,8.57,1077,5136.85,17.5,13.84,0.086,0.012,0.005,1.494,493,17.486,34.757,274.477,76.8,48.61,80.32,16.55,36,14.509,11754.54,11831.82,11749.36,0.51,NA
NLA06608-1960,1,7.68,185.2,1599.57,37.3,4.53,0.113,0.038,0.02,0.403,108,14.848,5.634,3.353,26.78,3.205,4.554,3.044,13,4.299,1883.9,1829.74,1876,0.3,NA
NLA06608-1968,1,8.89,797,3080.12,33.1,10.49,0.018,0.005,0.005,2.076,255,94.933,13.616,220.444,33.48,16.79,112.9,9.989,18,1.433,8219.56,8053.82,8218.63,0.24,NA
NLA06608-1975,1,8.44,463.8,3839.12,2.26,5.83,0.01,0.005,0.005,0.739,18,4.981,20.905,24.73,34.88,29.31,8.968,4.871,5,10.369,4667.67,4943.65,4667.04,2.46,NA
NLA06608-1985,1,7.57,49.63,384.2,0.241,1.28,0.005,0.005,0.005,0.027,3,0.664,0.651,3.339,5.407,1.441,1.152,0.48,0,9.986,451.29,472.11,450.77,10.45,NA
NLA06608-1989,1,8.01,92.7,781.38,9.06,3.72,0.056,0.03,0.056,0.658,71,17.12,1.886,2.499,7.978,1.716,5.446,3.33,11,26.546,865.18,890.61,861.37,1.45,NA
NLA06608-1992,1,7.7,87.19,583.52,23.9,9.37,0.023,0.005,0.005,2.041,108,104.4,2.461,4.931,6.285,2.324,3.666,3.608,25,7.136,758.22,755.62,756.6,0.4,NA
NLA06608-1998,1,6.82,23.05,104.24,1.51,7.72,0.016,0.005,0.005,0.43,13,3.323,0.31,2.866,2.245,0.74,0.568,0.431,25,0.143,209.94,172.81,208.65,2.75,NA
NLA06608-1998,2,6.73,23.79,96.79,1.39,7.3,0.013,0.005,0.005,0.326,8,5.32,0.274,2.93,2.217,0.725,0.533,0.384,20,0.386,204.4,165.71,203.29,1.98,NA
NLA06608-2005,1,7.79,178,1504.34,45.5,6.14,0.117,0.031,0.102,1.398,276,194.4,4.902,6.781,15.2,4.244,10.16,4.642,16,31.65,1676.49,1791.08,1668.37,0.3,NA
NLA06608-2007,1,8.62,641.1,5127.04,3.2,12.23,0.04,0.005,0.005,1.331,59,6.72,3.218,114.922,42.73,53.06,13.35,8.394,5,7.912,7296.18,7610.49,7293.81,1.11,NA
NLA06608-2010,1,7.19,38.85,173.86,2.91,4.21,0.015,0.005,0.005,0.494,24,14.304,4.431,1.098,2.292,0.94,2.327,0.807,12,1.042,314.71,321.77,313.58,1.61,NA
NLA06608-2027,1,6.92,93.7,808.96,9.21,8.12,0.013,0.005,0.005,0.551,49,3.952,0.751,5.321,11.84,2.374,2.805,1.058,29,11.106,936.28,941.05,935.24,1.13,NA
NLA06608-2036,1,8.28,389.7,1434.73,3.13,3.48,0.015,0.005,0.005,0.278,11,4.408,13.794,97.662,39.68,17.5,6.928,3.056,5,0.728,3800.57,3857.13,3799.59,1.56,NA
NLA06608-2037,1,8.69,518,3070.77,24.3,6.53,0.019,0.005,0.005,1.19,175,19.2,33.686,63.419,24.07,8.128,72.71,6.029,19,15.22,5187.93,5341.3,5186.84,0.42,NA
NLA06608-2039,1,8.61,315.9,2761.05,97.6,14.6,0.028,0.005,0.005,4.691,277,338.4,17.49,12.304,22.22,22.82,6.065,3.701,24,12.856,3346.72,3510.54,3345.06,0.13,NA
NLA06608-2049,1,8.41,292.9,2980.21,0.88,4.19,0.005,0.005,0.005,0.276,5,1.415,1.121,4.644,30.52,15.42,5.065,1.551,6,11.413,3052.26,3108.52,3051.81,4.15,NA
NLA06608-2056,1,9.01,251.1,2352.96,33,6.92,0.094,0.005,0.005,2.082,572,92.16,10.275,2.972,23.9,11.76,5.452,4.128,13,14.271,2507.48,2704.65,2503.05,0.37,NA
NLA06608-2072,1,6.82,65.5,224.23,9.38,12.33,0.022,0.005,0.005,1.134,78,105.84,6.757,3.782,3.784,1.401,3.844,2.807,45,5.694,544.82,493.71,543.11,0.68,NA
NLA06608-2074,1,8.07,93.76,471.54,13.4,7.02,0.015,0.005,0.005,1.004,72,61.091,10.083,4.531,6.691,2.721,5.593,1.83,24,2.717,848.89,850.29,847.87,0.65,NA
NLA06608-2076,1,6.44,30.31,178.15,3.33,2.08,0.005,0.005,0.005,0.124,11,3.59,1.354,2.307,1.765,0.972,1.58,0.636,6,7.657,253.84,264.74,253.05,1.93,NA
NLA06608-2078,1,7.38,33.39,276.15,1.66,6.04,0.015,0.005,0.005,0.569,7,8.64,0.358,0.883,3.177,1.445,0.24,0.461,4,0.545,300.77,304.67,299.67,2.59,NA
NLA06608-2082,1,7.87,118.4,1070.28,3.35,3.07,0.013,0.005,0.005,0.496,17,3.568,2.532,2.069,12.78,3.974,4.522,0.746,4,12.131,1181.42,1184.79,1180.51,2.1,NA
NLA06608-2086,1,8.18,167,1536.45,0.651,2.78,0.062,0.093,0.071,0.276,5,1.592,0.467,5.909,30.25,0.935,0.571,0.441,9,7.325,1626.65,1677.72,1622.53,4.15,NA
NLA06608-2087,1,8.98,963.7,7516.39,24.9,16.74,0.032,0.005,0.005,2.859,197,64.512,14.403,189.361,26.64,91.63,36.65,29.81,18,34.366,11227.56,11865.14,11226.01,0.34,NA
NLA06608-2091,1,8.04,144.4,908.12,5.1,2.55,0.015,0.055,0.086,0.401,53,20.43,7.524,10.686,11.11,3.206,10.32,1.808,9,7.06,1314.37,1348.97,1313.34,0.99,NA
NLA06608-2092,1,7.28,59.47,406.24,9.23,7.22,0.018,0.005,0.005,1.804,135,84.96,3.243,0.125,3.942,1.408,2.451,3.189,12,4.52,502.07,497.76,500.74,0.43,NA
NLA06608-2094,1,7.13,28.45,185.35,5.55,6.55,0.021,0.005,0.005,0.438,35,20.64,0.892,0.69,2.096,0.898,0.539,1.463,40,5.405,240.91,224.95,239.35,1.07,NA
NLA06608-2095,1,7.87,114.3,753.85,12.5,3.02,0.024,0.005,0.005,0.316,48,2.888,0.958,15.609,13.42,1.674,6.33,0.893,15,5.795,1107.25,1105.86,1105.59,0.79,NA
NLA06608-2103,1,8.59,4562,6602.13,7.96,25.25,0.462,0.097,0.034,3.503,170,8.133,167.259,2112.248,117.8,206.2,683.2,86.9,20,0.787,54813.78,55299.27,54786.18,0.79,NA
NLA06608-2114,1,7.43,793.4,318.03,1.82,1.78,0.032,0.229,0.235,0.402,1,3.408,228.844,14.334,18.99,3.331,122.8,1.319,0,1.87,6599.24,7088.05,6596.94,2.7,NA
NLA06608-2117,1,8.94,416.7,2283.07,34.7,25.11,0.033,0.005,0.005,5.572,169,149.6,46.29,29.089,27.56,17.77,19.41,11.6,20,3.05,3980.12,4194.36,3978.48,0.25,NA
NLA06608-2120,1,6.94,132.3,982.59,4.5,12.66,0.016,0.005,0.005,0.869,28,13.472,4.398,7.709,14.81,3.971,3.359,3.679,60,12.495,1307.24,1267.26,1305.99,1.16,NA
NLA06608-2123,1,9,1596,3999.48,35,13.47,0.026,0.005,0.005,3.009,613,166.629,21.602,700.046,121.4,105.2,102.7,19.38,24,29.29,19678.67,19183.74,19677.44,0.24,NA
NLA06608-2131,1,8.9,2170,8260.11,15.4,22.46,0.042,0.005,0.005,1.82,14,13.44,30.206,979.878,14.65,236.4,151.9,42.04,7,20.561,27868.59,29513.16,27866.45,0.43,NA
NLA06608-2134,1,7.5,40.14,307.69,2.89,1.51,0.005,0.005,0.005,0.211,21,6.149,1.627,1.346,3.361,0.992,2.562,0.394,6,1.57,371.17,381.64,370.86,1.71,NA
NLA06608-2135,1,8.47,1943,4156.2,4.61,10.04,0.055,0.005,0.005,1.117,24,15.216,15.95,946.108,82.08,222.3,43.99,25.78,7,8.144,24964.66,24304.06,24961.24,1.45,NA
NLA06608-2152,1,8.12,266.2,2438.83,1.65,4.34,0.01,0.005,0.005,0.535,29,23.832,7.912,6.845,27.26,14.48,3.765,3.962,13,4.102,2817.58,2804.52,2816.91,1.61,NA
NLA06608-2154,1,8.61,110.1,934.62,9.52,5.93,0.016,0.005,0.005,1.007,112,46.4,3.008,1.681,13.66,1.284,2.458,4.182,5,0.259,1002.12,1054.46,1001.17,0.59,NA
NLA06608-2155,1,8.58,486.9,2875.3,2.43,7.9,0.016,0.005,0.005,0.644,1,1.464,63.043,16.534,35.89,14.72,36.48,1.703,7,1.354,4633.5,4997.73,4632.54,2.5,NA
NLA06608-2162,1,6.94,61.52,94.85,0.846,4.52,0.024,0.005,0.005,0.295,21,3.744,9.276,5.349,2.446,0.887,6.282,0.702,21,2.559,488.07,467.97,486.25,2.48,NA
NLA06608-2170,1,9.11,10470,12203.93,3.63,74.59,0.079,0.005,0.242,5.109,65,3.96,362.855,4555.792,8.317,693.3,1806,113.5,6,0.102,138928.34,117307.49,138924.92,NA,NA
NLA06608-2177,1,8.34,221.8,2283.51,0.5,3.22,0.005,0.005,0.005,0.334,3,1.389,0.317,1.424,29.74,7.941,1.564,0.727,5,5.649,2224.55,2322.1,2224.1,5.45,NA
NLA06608-2185,1,8.25,142.7,1235.8,2.01,2.31,0.005,0.005,0.005,0.188,15,4.2,3.635,5.505,12.36,3.409,8.773,1.605,6,5.744,1320.4,1452.95,1319.94,2.6,NA
NLA06608-2187,1,8.27,426.5,1732.85,3.31,2.52,0.021,0.043,0.13,0.366,20,14.96,21.139,82.957,24.13,12.83,37.31,2.81,9,1.196,3955.98,4065.55,3954.61,1.25,NA
NLA06608-2193,1,5.12,79.71,1.5,1.44,7.13,0.005,0.005,0.005,0.294,15,1.664,19.256,1.901,0.54,1.234,10.79,0.323,40,0.18,613.89,591.8,606.09,NA,Y
NLA06608-2196,1,8.17,138.4,1161.68,1.59,3.71,0.011,0.005,0.005,0.407,15,3.376,1.635,10.312,17.71,3.986,3.768,0.343,5,6.647,1385.14,1422.5,1384.4,2.65,NA
NLA06608-2217,1,6.91,22.36,115.43,1.65,6.93,0.017,0.005,0.005,0.3,9,2.787,0.798,1.542,1.979,0.557,0.532,0.345,17,2.332,177.88,170.17,176.55,2.98,NA
NLA06608-2219,1,8.55,344.3,2835.39,3.99,8.11,0.023,0.005,0.005,0.634,33,20.52,19.757,10.837,33.35,17.77,8.918,2.484,16,3.201,3579.26,3618.29,3577.87,1.17,NA
NLA06608-2241,1,7.86,89.9,719.8,0.45,4.06,0.014,0.005,0.005,0.256,9,1.128,3.614,2.383,9.033,2.452,3.924,1.382,11,16.582,859.53,871.44,858.55,5.63,NA
NLA06608-2250,1,7.69,111.3,563.89,0.758,1.81,0.005,0.005,0.005,0.14,11,0.701,8.729,3.5,2.931,0.37,14.83,3.064,10,41.758,900.72,882.99,900.14,9.4,NA
NLA06608-2253,1,7.85,236.5,733.17,10.2,3.09,0.085,2.869,2.798,3.591,86,30.08,28.513,19.275,18.53,5.472,12.7,3.05,10,13.518,2011.23,2138.48,2005.36,0.87,NA
NLA06608-2257,1,7.35,34.2,232.97,0.468,3.3,0.005,0.005,0.005,0.214,6,1.911,1.933,0.82,2.573,0.944,1.626,0.265,14,7.008,284.05,304.61,283.58,4.72,NA
NLA06608-2266,1,6.93,136.8,774.64,1.96,8.13,0.014,0.005,0.005,0.35,21,1.624,1.461,24.72,12.68,4.492,5.98,1.177,17,11.776,1293.7,1330.64,1292.59,2,NA
NLA06608-2267,1,8.56,420.5,3395.33,3.42,8.37,0.017,0.005,0.005,0.793,25,8.5,19.051,28.634,50.84,19.01,7.287,2.683,17,2.683,4487.83,4528.85,4486.8,1.75,NA
NLA06608-2283,1,8.47,465,2935.49,1.47,5.48,0.022,0.005,0.005,0.559,7,3.426,29.12,44.783,40.41,20.72,13.74,1.712,5,8.986,4364.28,4689.23,4362.91,3.15,NA
NLA06608-2305,1,6.63,47.45,377.08,1.05,6.2,0.016,0.005,0.005,0.329,9,6.537,1.645,0.387,3.928,1.308,2.619,0.806,9,2.261,439.55,431.77,438.17,2.31,NA
NLA06608-2322,1,8.5,313.2,2742.99,1.57,3.92,0.022,0.005,0.005,0.388,31,3.568,12.653,9.471,38.29,12.69,9.794,1.006,11,6.033,3408.01,3297.07,3406.65,3.4,NA
NLA06608-2332,1,8.62,701.6,4508.5,5.69,6.5,0.011,0.005,0.005,0.779,318,14.288,34.757,87.308,57.54,23.82,44.78,21.94,17,16.192,7340.97,7306.61,7340.32,1.1,NA
NLA06608-2333,1,7.6,77.06,286.49,19.2,2.26,0.058,1.219,1.157,2.311,75,68.88,8.597,2.298,3.722,1.733,5.788,1.224,20,9.43,615.49,659.45,611.4,1.06,NA
NLA06608-2345,1,7.71,899.5,3412.67,3.76,3.77,0.021,0.005,0.005,0.391,15,3.04,41.33,245.28,63.93,49.47,39.09,2.867,5,7.241,9036.03,9685.17,9034.54,1.25,NA
NLA06608-2354,1,7.51,293.9,429.9,2.64,3.14,0.012,0.005,0.005,0.331,12,7.776,60.98,14.204,12.2,2.129,35.96,2.156,9,1.372,2404.16,2445.66,2403.29,2.63,NA
NLA06608-2372,1,8.36,191.5,1800.77,11.5,5.91,0.058,0.005,0.005,0.439,54,4.837,3.138,4.086,22.01,6.292,6.687,2.043,6,10.254,1962.9,1974.36,1959.18,1,NA
NLA06608-2379,1,8.16,9694,4460.41,0.686,33.93,0.048,0.005,0.005,2.076,12,1.416,219.484,6786.67,443.8,977.8,1074,21.67,20,0.324,149880.71,151949.65,149877.5,5.05,NA
NLA06608-2418,1,7.52,187.9,360.64,7.57,3.61,0.023,0.011,0.031,0.366,35,24.32,36.109,8.287,8.006,2.085,19.69,1.072,18,1.486,1456.6,1553.91,1454.96,1.12,NA
NLA06608-2426,1,9.18,50590,91632.9,10.8,252.19,0.046,0.026,0.005,25.663,1697,69.6,1311.688,40085.754,25.23,2139,16740,1412,19,0.084,941539.03,963215.77,941537.16,0.38,NA
NLA06608-2429,1,6.94,101.8,832,0.764,3.15,0.01,0.005,0.005,0.133,9,2.448,0.55,6.223,14.29,2.899,1.605,0.378,10,2.2,1031.93,977.19,1031.11,4.65,NA
NLA06608-2438,1,7.94,152.2,1510.56,152,13,0.075,0.367,0.358,1.674,636,4.64,1.026,1.944,7.651,3.356,14.72,6.362,21,23.98,1466.09,1605.54,1460.95,0.11,NA
NLA06608-2450,1,7.38,87,219.1,0.817,2.28,0.005,0.005,0.005,0.148,3,0.904,16.398,3.009,2.227,1.694,9.657,0.897,0,9.592,694.2,744.31,693.52,7.48,NA
NLA06608-2453,1,8.06,147.9,1272.18,27.5,5.65,0.036,0.122,0.162,0.765,283,4.593,2.748,5.25,12.28,3.368,8.985,3.89,19,35.79,1382.68,1470.57,1380.24,0.3,NA
NLA06608-2457,1,7.84,325.5,3069.52,4.23,3.91,0.005,0.005,0.005,0.314,16,3.688,1.435,17.287,46.9,11.75,1.884,1.551,6,0.154,3429.38,3469.93,3428.81,2.35,NA
NLA06608-2463,1,8.33,595.2,4192.09,1.52,3.07,0.01,0.005,0.005,0.183,6,1.576,14.774,82.61,35.4,23.85,45.5,1.459,5,5.789,5746.14,6328.75,5745.49,5.25,NA
NLA06608-2477,1,8.93,1399,11009.75,2.52,17.11,0.038,0.005,0.005,1.238,32,1.832,52.776,196.511,34.84,99.34,140.8,32.22,47,35.326,16863.45,16589.71,16861.55,1.2,NA
NLA06608-2481,1,7.7,216.1,2006.46,8.75,4.79,0.017,0.005,0.005,0.421,36,0.952,0.517,10.5,13.24,13.95,8.721,0.304,8,6.104,2196.92,2239.67,2195.71,3.98,NA
NLA06608-2492,1,7.59,83.32,471.83,7.05,2.89,0.036,0.005,0.005,0.337,33,19.36,4.113,7.373,7.246,1.642,3.588,1.427,6,11.8,691.81,741.37,689.26,0.86,NA
NLA06608-2497,1,6.77,41.77,350.72,6.16,4.17,0.018,0.005,0.005,0.868,64,20.914,0.414,1.023,3.505,0.695,2.64,0.798,14,9.316,368.78,383.87,367.33,0.7,NA
NLA06608-2507,1,8.61,371,2543.62,4.26,3.76,0.02,0.321,0.37,1.101,34,38.016,27.015,22.527,29.06,20.16,10.5,1.836,10,0.101,3613.89,3801.04,3612.7,0.82,NA
NLA06608-2513,1,8.12,115.7,888.71,0.795,3.15,0.005,0.005,0.005,0.259,5,3.541,3.692,6.039,11.04,3.893,4.463,0.764,5,1.096,1085.32,1118.59,1084.91,5.19,NA
NLA06608-2523,1,8.58,506.3,3218.28,6.61,10.02,0.018,0.005,0.005,1.259,56,13.5,56.271,11.932,39.58,17.86,29.22,3.292,18,0.053,4800.99,5053.89,4799.9,0.79,NA
NLA06608-2524,1,8,151.9,1339.51,4.87,4.43,0.077,0.005,0.005,0.58,33,41.904,2.358,1.909,15.8,5.011,2.356,3.615,9,2.424,1400.95,1445.78,1395.7,0.98,NA
NLA06608-2565,1,6.56,156.7,51.11,2.99,4.55,0.005,0.005,0.005,0.41,19,7.096,28.336,18.244,4.622,3.834,13.2,2.835,7,0.873,1193.37,1230.47,1192.81,1.15,NA
NLA06608-2566,1,7.79,261,629.3,1.88,10.51,0.016,0.005,0.005,0.376,9,4.432,55.323,5.209,12.21,2.623,32.5,2.173,59,0.914,2295.49,2298.21,2294.37,NA,Y
NLA06608-2593,1,8.56,248.6,1375.91,4.74,14.23,0.015,0.005,0.005,1.337,41,38.2,29.142,6.334,19.7,5.85,14.31,8.651,23,2.774,2309.04,2329.77,2308.13,0.55,NA
NLA06608-2629,1,8.21,1924,1455.92,6.21,11.72,0.021,0.005,0.005,1.188,66,27.16,461.131,136.951,68.04,30.99,234.7,7.937,29,6.694,16358.58,17313.91,16357.19,0.5,NA
NLA06608-2634,1,6.78,13.38,98.71,0.981,2.42,0.01,0.005,0.005,0.278,16,1.17,0.05,0.646,1.369,0.408,0.495,0.101,15,1.717,126.88,114.86,126,NA,Y
NLA06608-2640,1,8.64,371.4,2979.49,13,5.73,0.062,0.06,0.119,1.113,48,25.12,7.094,28.918,29.4,14.55,14.54,18.77,17,10.342,3780.51,3790.15,3776.88,1,NA
NLA06608-2644,1,8.16,453.5,3398.77,15.4,5.84,0.04,0.005,0.005,1.24,121,4.427,35.218,12.037,50.61,14.14,15.94,5.051,11,3.57,4514.2,4642.75,4511.53,0.41,NA
NLA06608-2655,1,9.46,174.6,1616.1,3.15,16.59,0.194,0.005,0.005,2.286,102,29.457,4.018,1.141,14.37,8.179,5.906,5.381,30,5.56,1790.29,1753.54,1784.62,1.65,NA
NLA06608-2657,1,7.3,217.2,306.29,1.28,5.13,0.012,0.005,0.005,0.488,6,20.6,31.614,26.44,7.384,6.783,13.22,6.09,7,0.377,1658.32,1748.53,1657.42,NA,Y
NLA06608-2663,1,8.35,449.8,1321.46,1.16,6.26,0.019,0.005,0.005,0.561,13,2.032,76.55,28.641,23.55,7.561,50.52,1.937,14,0.906,4045.59,4076.94,4044.37,NA,Y
NLA06608-2673,1,7.56,45.23,407.93,0.53,2.31,0.021,0.005,0.02,0.423,72,1.331,0.144,0.786,3.756,1.492,1.979,0.972,12,9.99,422.64,429.81,421.14,5.5,NA
NLA06608-2685,1,6.72,16.61,98.38,2.41,4.29,0.005,0.005,0.005,0.169,7,2.432,0.381,0.88,1.632,0.428,0.491,0.197,11,1.715,143.74,127.64,143.05,2.45,NA
NLA06608-2696,1,8.29,343.7,1850.11,8.77,3.43,0.012,0.005,0.005,0.733,75,41.76,24.172,38.746,47.14,1.897,13.58,3.09,11,6.021,3178.9,3338.6,3178.12,0.75,NA
NLA06608-2704,1,7.93,687.3,5013.08,52.2,10.95,0.201,0.016,0.026,1.672,105,25.88,54.157,25.782,30.82,23.97,68.92,6.122,9,28.582,6678.57,7079.28,6664.8,0.25,NA
NLA06608-2708,1,8.59,201.4,1509.23,2.46,3.86,0.005,0.005,0.005,0.388,12,5.16,9.059,12.726,22.53,6.221,7.642,1.42,10,6.878,2005.25,2029.71,2004.89,2.4,NA
NLA06608-2714,1,7.25,923,9273.81,1.49,73.71,0.028,0.005,0.005,0.216,8,9.067,11.187,2.029,12.77,26.86,80.13,94.25,9,15.12,8745.57,9631.65,8743.54,3.85,NA
NLA06608-2715,1,8.48,572.7,2736.05,11.7,5.13,0.018,0.005,0.005,0.369,36,4.752,10.908,135.88,57.13,17.42,32.75,3.106,13,7.159,5789.35,5872.75,5788.23,0.52,NA
NLA06608-2726,1,8.24,152.3,1485.16,0.61,2.45,0.005,0.005,0.005,0.191,5,1.179,1.483,0.652,8.604,6.745,9.669,1.722,6,0.795,1449.52,1540.57,1448.99,6.99,NA
NLA06608-2740,1,8.5,205.8,2040.4,9.8,2.25,0.005,0.005,0.005,0.359,121,11.368,1.265,7.92,30.53,4.037,5.811,5.427,5,51.976,2247.52,2240.98,2247.21,0.65,NA
NLA06608-2753,1,9.15,1514,12141.51,1.88,19.01,0.023,0.005,0.005,1.496,16,3.392,116.389,58.489,11.1,29.63,292.6,25.24,9,1.972,16366,16642.12,16365.04,2.67,NA
NLA06608-2759,1,7.51,382.4,3356.55,1.93,2.36,0.005,0.022,0.005,0.206,9,1.116,15.995,13.273,38.86,18.12,10.23,2.18,6,14.592,3931.29,4085.01,3930.91,NA,Y
NLA06608-2776,1,7.72,208.6,1949.16,5.82,6.09,0.37,0.031,0.093,1.144,36,13.856,3.648,1.854,31.32,2.631,2.35,6.727,12,5.659,2079.4,2097.31,2053.64,0.79,NA
NLA06608-2779,1,8.45,476.3,3561.54,1.66,7.7,0.024,0.005,0.005,0.713,21,6,21.846,38.022,49.44,19.38,9.875,2.33,16,3.925,4552.43,4969.35,4550.93,1.85,NA
NLA06608-2797,1,8.69,646.2,4032.18,3.27,6.33,0.018,0.005,0.005,0.664,24,2.016,69.924,27.944,29.84,17.91,79.49,11.22,12,49.69,6708.42,6586.25,6707.39,2.13,NA
NLA06608-2800,1,8.17,380.3,3318.83,2.3,2.74,0.005,0.005,0.005,0.235,11,2.411,0.85,42.913,50.33,16.05,4.19,1.187,5,6.892,4045.01,4236.26,4044.8,4,NA
NLA06608-2801,1,8.45,808.5,4196.15,22.5,1.47,0.028,0.035,0.145,0.339,36,6.816,118.391,25.647,48.07,23.12,67.44,5.719,7,16.097,7382.7,8079.81,7380.94,0.35,NA
NLA06608-2807,1,8.54,1380,2722.79,3.39,5.69,0.005,0.005,0.005,0.66,32,NA,279.912,117.672,79.28,14.95,163.5,5.235,22,11.115,12432.58,13067.92,12432.03,0.9,NA
NLA06608-2823,1,6.96,52.1,251.74,3.5,5.75,0.005,0.005,0.005,0.751,31,24.32,4.921,1.928,2.749,1.096,4.123,1.166,17,13.151,437.27,430.79,436.53,1.08,NA
NLA06608-2824,1,8.78,144.1,1355.44,6.81,2.24,0.005,0.278,0.256,0.794,208,25.28,0.964,4.145,18.52,2.853,4.987,3.679,9,41.477,1470.43,1487.21,1469.93,0.8,NA
NLA06608-2831,1,8.29,205.1,1335.51,13.2,3.13,0.005,0.005,0.005,0.738,107,37.6,9.063,20.301,17.47,5.049,12.51,2.215,10,6.432,1888.49,2013.81,1888.03,0.48,NA
NLA06608-2833,1,8.65,454.3,4110.34,0.835,6.62,0.005,0.005,0.005,0.64,16,3.061,6.178,36.964,33.49,26.77,22.31,3.67,10,2.631,4938.83,5054.19,4938.3,4.39,NA
NLA06608-2874,1,8.23,442.8,3261.42,1.79,3.12,0.026,0.165,0.267,0.487,76,3.94,13.337,42.639,46.01,13.61,20.89,4.009,5,24.371,4428.76,4544.42,4427.04,4.2,NA
NLA06608-2881,1,6.94,171.3,1767.77,0.47,1.52,0.005,0.005,0.005,0.05,1,0.886,0.418,2.295,23.99,6.017,1.158,0.307,0,6.896,1750.78,1827.46,1750.45,6.95,NA
NLA06608-2889,1,9.4,19040,74249.1,0.905,44.65,0.02,0.005,0.005,1.476,577,1.772,3621.155,3599.851,8.465,160.9,3867,224.2,4,0.693,187602.71,251336.3,187602.07,8.2,NA
NLA06608-2891,1,8.61,439.5,2796.77,1.53,8.38,0.023,0.005,0.005,0.79,8,7.2,28.514,40.41,32.56,19.7,23.3,1.65,2,3.811,4302.88,4442.37,4301.51,3,NA
NLA06608-2916,1,8.33,186.5,1181.51,1.33,3.92,0.013,0.005,0.052,0.324,15,1.984,2.231,27.795,20.19,6.622,4.103,0.973,7,4.387,1756.59,1826.85,1755.75,3.3,NA
NLA06608-2924,1,8.31,2795,2268.92,3.5,5.74,0.005,0.005,0.005,0.693,13,12.64,588.587,363.238,99.95,54.35,342.1,11.43,12,6.793,24633.25,26433.22,24632.73,1.21,NA
NLA06608-2954,1,8.94,124.3,1325.93,214,8.58,0.098,0.005,0.005,7.684,876,136.656,2.906,2.5,8.844,3.525,11.36,0.925,31,13.184,1254.04,1459.95,1249.17,1.58,NA
NLA06608-2955,1,8.65,207.9,1708.25,5.65,2.9,0.022,0.005,0.005,0.513,58,32.976,6.949,13.401,22.76,6.353,10.09,2.032,12,3.202,2150.65,2183.26,2149.36,0.74,NA
